towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score
stim_set/easy-vcom=2-94.png,stand.png,cooperation,4.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=2-147.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/easy-411.png,stand.png,cooperation,2.0,stand,right,easy,,,,,,,,,,,
stim_set/hard-vcom=3-7.png,fall.png,cooperation,2.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-14.png,fall.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/hard-49.png,stand.png,cooperation,3.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-82.png,fall.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-492.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-345.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-40.png,fall.png,cooperation,3.0,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=2-3.png,stand.png,cooperation,3.75,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=1-50.png,stand.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-30.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-369.png,stand.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=1-3.png,stand.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=4-69.png,fall.png,cooperation,4.0,fall,left,easy,,,,,,,,,,,
stim_set/easy-344.png,stand.png,cooperation,2.75,stand,right,easy,,,,,,,,,,,
stim_set/hard-564.png,fall.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=3-142.png,stand.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-382.png,stand.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-75.png,fall.png,cooperation,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-321.png,fall.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=2-20.png,stand.png,cooperation,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=4-23.png,fall.png,cooperation,3.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-136.png,stand.png,cooperation,2.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-95.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=1-12.png,stand.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=2-137.png,stand.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=2-16.png,fall.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=2-100.png,stand.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-441.png,fall.png,cooperation,2.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=3-82.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-549.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-391.png,stand.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-367.png,fall.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=4-19.png,fall.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=4-80.png,stand.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=4-142.png,fall.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-21.png,fall.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=3-38.png,stand.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=3-142.png,fall.png,cooperation,3.25,fall,left,easy,,,,,,,,,,,
stim_set/easy-164.png,stand.png,cooperation,3.75,stand,right,easy,,,,,,,,,,,
stim_set/hard-316.png,fall.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-92.png,stand.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-78.png,fall.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/easy-280.png,stand.png,cooperation,3.0,stand,right,easy,,,,,,,,,,,
stim_set/easy-vcom=1-87.png,fall.png,cooperation,2.5,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=1-145.png,stand.png,cooperation,3.75,fall,left,easy,,,,,,,,,,,
stim_set/hard-91.png,fall.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-182.png,stand.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-177.png,stand.png,cooperation,2.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-132.png,fall.png,cooperation,3.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=2-110.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-214.png,fall.png,cooperation,3.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-334.png,stand.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=1-130.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-7.png,stand.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-147.png,fall.png,cooperation,3.25,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=4-126.png,stand.png,competition,3.0,fall,left,easy,,,,,,,,,,,
stim_set/easy-280.png,stand.png,competition,3.75,stand,right,easy,,,,,,,,,,,
stim_set/hard-321.png,fall.png,competition,3.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=2-147.png,stand.png,competition,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-2.png,fall.png,competition,2.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=2-3.png,fall.png,competition,2.5,fall,left,easy,,,,,,,,,,,
stim_set/hard-21.png,stand.png,competition,2.25,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=1-12.png,fall.png,competition,2.75,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=2-147.png,stand.png,competition,2.5,fall,left,easy,,,,,,,,,,,
stim_set/hard-367.png,fall.png,competition,3.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-80.png,stand.png,competition,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-82.png,stand.png,competition,2.25,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=4-19.png,fall.png,competition,2.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-7.png,fall.png,competition,2.0,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=3-142.png,stand.png,competition,2.5,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=3-74.png,fall.png,competition,2.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=2-16.png,stand.png,competition,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=4-139.png,fall.png,competition,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=4-147.png,fall.png,competition,2.5,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=1-87.png,stand.png,competition,2.5,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=4-69.png,fall.png,competition,3.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-316.png,fall.png,competition,3.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-13.png,stand.png,competition,2.25,stand,right,easy,,,,,,,,,,,
stim_set/hard-182.png,stand.png,competition,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-92.png,fall.png,competition,3.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-564.png,stand.png,competition,4.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=1-3.png,stand.png,competition,2.5,fall,left,hard,,,,,,,,,,,
stim_set/easy-164.png,fall.png,competition,2.5,stand,right,easy,,,,,,,,,,,
stim_set/hard-vcom=1-50.png,fall.png,competition,3.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-95.png,fall.png,competition,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-280.png,fall.png,competition,2.5,stand,right,hard,,,,,,,,,,,
stim_set/hard-14.png,stand.png,competition,4.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-78.png,fall.png,competition,2.5,stand,right,hard,,,,,,,,,,,
stim_set/hard-91.png,fall.png,competition,2.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=1-30.png,stand.png,competition,2.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=2-137.png,fall.png,competition,3.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-130.png,fall.png,competition,3.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=4-23.png,stand.png,competition,3.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=3-34.png,stand.png,competition,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-441.png,fall.png,competition,4.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-244.png,stand.png,competition,4.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=3-7.png,stand.png,competition,2.25,fall,left,hard,,,,,,,,,,,
stim_set/easy-411.png,stand.png,competition,2.25,stand,right,easy,,,,,,,,,,,
stim_set/hard-vcom=2-20.png,fall.png,competition,3.75,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=2-94.png,stand.png,competition,4.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=3-110.png,fall.png,competition,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-136.png,fall.png,competition,3.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=2-100.png,stand.png,competition,2.75,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=3-15.png,stand.png,competition,3.0,fall,left,easy,,,,,,,,,,,
stim_set/easy-590.png,fall.png,competition,4.0,stand,right,easy,,,,,,,,,,,
stim_set/hard-600.png,stand.png,competition,2.25,stand,right,hard,,,,,,,,,,,
